Property address,Customer,System Size,Lease $/yr,Building type,Utility,Owner name,Type
"7300 Santa Fe Dr, La Grange, IL 60525",Bolthouse Farms,"2,890","$72,259","Industrial, Warehouse",Commonwealth Edison Co,Bolthouse Farms,Owned
"244 W Washington St, Chicago, IL 60605",Clark Construction,"2,314","$57,859","Industrial, Warehouse",Commonwealth Edison Co,212 W Washington APT 913 LLC,Leased
"800 Secaucus Rd, Secaucus, NJ 07094",FirstLight Fiber,"2,595","$254,264","Industrial, Warehouse",Public Service Elec & Gas Co,800 SECAUCUS LLC,Leased
"800 Cottontail Ln, Franklin Township, NJ 08873",FirstLight Fiber,"2,498","$244,841","Industrial, Warehouse",Public Service Elec & Gas Co,Roble Jackson,Leased
"480 Centre St, Quincy, MA 02169",Go Store It,"2,418","$241,766","Industrial, Warehouse",National Grid - Massachusetts,Go Store It,Owned
"1 Moonwalker Rd, Frederica, DE 19946",ILC Dover,"2,392","$47,838","Industrial, Manufacturing",Delmarva Power,Ir Ingersoll Rand,Leased
"100 Industrial Dr, Hamburg, PA 19526",IWCO Direct Inc,"3,024","$51,406","Industrial, Warehouse",Metropolitan Edison Co,Carosella Family Foundation,Leased
"330 MA-1A, Lynn, MA 01901",Kettle Cuisine,"3,425","$342,468","Industrial, Manufacturing",National Grid - Massachusetts,330 Scangas Limited Partnership,Leased
"2601 Internationale Pkwy, Lemont, IL 60439",RJW Logistics Group,"4,297","$107,431","Industrial, Warehouse",Commonwealth Edison Co,Brookfield Properties,Leased
"1117 N 2nd St, Murphysboro, IL 62966",Marmon Holdings,"3,220","$86,951","Industrial, Manufacturing",Ameren Illinois,Marmon Holdings,Owned
"32944 US-6, Spring Valley, IL 61362",Marmon Holdings,"2,180","$58,873","Industrial, Warehouse",Ameren Illinois,"Sago Lincoln Industrial, LLC",Leased
"1301 N Main St, Monmouth, IL 61462",Marmon Holdings,"2,263","$61,114","Industrial, Manufacturing",Ameren Illinois,Marmon Holdings,Owned
"355 Kehoe Blvd, Carol Stream, IL 60188",Marmon Holdings,"2,210","$55,238","Industrial, Manufacturing",Commonwealth Edison Co,Marmon Holdings,Owned
"800 Centerpoint Blvd, New Castle, DE 19720",Marmon Holdings,"2,073","$41,457","Industrial, Manufacturing",Delmarva Power,Paul Mcconnell,Leased
"10601 Seymour Ave, Franklin Park, IL 60131",Peloton Interactive,"5,360","$134,007","Industrial, Warehouse",Commonwealth Edison Co,CenterPoint Properties,Leased
"100 Meadow Rd, Boston, MA 02136",Peloton Interactive,"5,319","$414,911","Industrial, Warehouse",Eversource Energy,AEW,Leased
"1945 N Delany Rd, Gurnee, IL 60031",PQ Performance Chemicals,"5,404","$135,101","Industrial, Warehouse",Commonwealth Edison Co,LEXINGTON BAKERY & DELI,Leased
"215 N Mill Rd, Vineland, NJ 08360",Provender Cold Storage,"2,551","$242,317","Industrial, Warehouse",Atlantic City Electric Co,Provender Cold Storage,Owned
"1125 Sycamore Rd, Manteno, IL 60950",Provender Cold Storage,"6,794","$169,841","Industrial, Warehouse",Commonwealth Edison Co,Provender Cold Storage,Owned
"11240 Katherines Crossing, Lemont, IL 60439",RJW Logistics Group,"3,338","$83,440","Industrial, Warehouse",Commonwealth Edison Co,"Bristol Group, Inc.",Leased
"2903 Schweitzer Rd, Elwood, IL 60421",RJW Logistics Group,"10,000","$250,000","Industrial, Warehouse",Commonwealth Edison Co,CenterPoint Properties,Leased
"950 W Renwick Rd, Lockport, IL 60441",RJW Logistics Group,"6,559","$163,979","Industrial, Warehouse",Commonwealth Edison Co,Duke Realty Corp,Leased
"1701 Normantown Rd, Plainfield, IL 60544",RJW Logistics Group,"9,904","$247,600","Industrial, Warehouse",Commonwealth Edison Co,"Hart I55 Industrial, LLC",Leased
"14908 S Gougar Rd, Lockport, IL 60491",RJW Logistics Group,"6,147","$153,679","Industrial, Warehouse",Commonwealth Edison Co,ML Realty Partners LP,Leased
"1001 Bluff Rd, Romeoville, IL 60446",RJW Logistics Group,"7,890","$197,250","Industrial, Warehouse",Commonwealth Edison Co,Prologis,Leased
"1000 Veterans Pkwy, Bolingbrook, IL 60440",RJW Logistics Group,"4,918","$122,938","Industrial, Warehouse",Commonwealth Edison Co,Prologis,Leased
"16535 W Prologis Pkwy, Lockport, IL 60441",RJW Logistics Group,"5,469","$136,713","Industrial, Warehouse",Commonwealth Edison Co,Prologis Logistics Services Incorporated,Leased
"50 Southcreek Pkwy, Romeoville, IL 60446",RJW Logistics Group,"5,033","$125,820","Industrial, Warehouse",Commonwealth Edison Co,"Romeo Pinnacle 24, LLC",Leased
"489 W Taylor Rd, Romeoville, IL 60446",RJW Logistics Group,"5,169","$129,236","Industrial, Warehouse",Commonwealth Edison Co,"Romeo Pinnacle 25, LLC",Leased
"275 W Laraway Rd, Joliet, IL 60436",RJW Logistics Group,"7,720","$193,000","Industrial, Warehouse",Commonwealth Edison Co,CenterPoint Properties,Leased
"21 N Weber Rd, Romeoville, IL 60446",RJW Logistics Group,"7,531","$188,275","Industrial, Warehouse",Commonwealth Edison Co,CalSTRS,Leased
"100 Cummings Center, Beverly, MA 01915",Source Code,"4,585","$458,526","Industrial, Warehouse",National Grid - Massachusetts,Cummings Properties,Leased
"34 St Martin Dr, Marlborough, MA 01752",Source Code,"2,448","$244,754","Industrial, Warehouse",National Grid - Massachusetts,Menlo Equities,Leased
"501 E 151st St, Phoenix, IL 60426",Sterling,"6,057","$151,434","Industrial, Manufacturing",Commonwealth Edison Co,"Agnl Freezer Tn, L.L.C.",Leased
"3401 S Chicago St, Joliet, IL 60436",Toyota Tsusho,"2,245","$56,136","Industrial, Manufacturing",Commonwealth Edison Co,Prologis,Leased
