Portfolio,Property address,System Size,Lease $/yr,Utility,Owner name,Type
Clorox,"2400 Dralle Rd, University Park, IL 60484","15,000","$375,000",Commonwealth Edison Co,LBA Logistics,Leased
Reynolds Brands,"777 S Wheeling Rd, Wheeling, IL 60090","6,131","$153,280",Commonwealth Edison Co,Reynolds Brands,Owned
PCI Pharma,"4536 Assembly Dr, Rockford, IL 61109","4,610","$115,260",Commonwealth Edison Co,New Mountain Capital,Leased
Hubbell Incorporated,"945 Corporate Dr, Aurora, IL 60505","3,901","$97,537",Commonwealth Edison Co,Ares,Leased
Clorox,"1319 Perryman Rd, Aberdeen, MD 21001","3,854","$262,071",Baltimore Gas & Electric Co,Clorox,Owned
Breakthru Beverage Group,"2800 V St NE, Washington, DC 20018","3,502","$336,700",Potomac Electric Power Co,Industrious Realty,Leased
Reynolds Brands,"2230 E Morton Ave, Jacksonville, IL 62650","3,384","$91,372",Ameren Illinois,Reynolds Brands,Owned
High Liner Foods,"904 Woods Rd, Cambridge, MD 21613","3,044","$167,402",Delmarva Power,High Liner Foods,Owned
Mueller Co,"500 W Eldorado St, Decatur, IL 62522","3,027","$81,733",Ameren Illinois,Mueller Co,Owned
Hologic,"14 Aegean Dr, Methuen, MA 01844","2,811","$281,105",National Grid - Massachusetts,Ares,Leased
Jumbo Capital,"95 Aubuchon Dr, Westminster, MA 01473","2,474","$247,416",National Grid - Massachusetts,Jumbo Capital,Owned
General Plumbing Supply,"575-585 Prospect St, Lakewood, NJ 08701","2,400","$115,200",Jersey Central Power & Lt Co,Acorn Property Management,Leased
Regal Rexnord,"2400 Curtiss St, Downers Grove, IL 60515","2,387","$59,686",Commonwealth Edison Co,Realty Income Corporation,Leased
Beacon,"1122 Milford Ave Suite B, Rockford, IL 61109","2,340","$58,508",Commonwealth Edison Co,Unknown Landlord,Leased
Nitto Avecia,"155 Fortune Blvd, Milford, MA 01757","2,272","$227,193",National Grid - Massachusetts,Nitto Avecia,Owned
ASM Global,"201 SW Jefferson Ave, Peoria, IL 61602","2,265","$61,165",Ameren Illinois,Peoria Civic Center,Leased
PCI Pharma,"4545 Assembly Dr, Rockford, IL 61109","2,234","$55,860",Commonwealth Edison Co,New Mountain Capital,Leased
Lancaster Colony Corporation,"2621 Freddy Ln, Vineland, NJ 08360","2,094","$198,943",Atlantic City Electric Co,Lancaster Colony Corporation,Owned
Hologic,"445 Simarano Dr, Marlborough, MA 01752","2,077","$207,728",National Grid - Massachusetts,Metropolis Partners,Leased
ASM Global,"1535 Washington St, Braintree, MA 02184","2,037","$158,870",Eversource Energy,Christopher Knisley,Leased
